variable,missing_count,missing_pct
return_year,0,0.0
species,0,0.0
hatchery_adults,0,0.0
wild_adults,0,0.0
total_adults,0,0.0
hatchery_jacks,0,0.0
wild_jacks,0,0.0
total_jacks,0,0.0
adult_plus_jacks,0,0.0
flow_water_year_mean_cfs,0,0.0
flow_jul_sep_mean_cfs,0,0.0
flow_jul_sep_min_cfs,0,0.0
swe_apr01_inches,0,0.0
pdo_annual_mean,0,0.0
temp_jun_sep_mean_c,0,0.0
temp_jun_sep_samples,0,0.0
cohort_lag_years,0,0.0
cohort_environment_year,0,0.0
cohort_flow_water_year_mean_cfs,0,0.0
cohort_flow_jul_sep_mean_cfs,0,0.0
cohort_swe_apr01_inches,0,0.0
cohort_temp_jun_sep_mean_c,0,0.0
marine_pdo_mean,0,0.0
marine_pdo_start_year,0,0.0
marine_pdo_end_year,0,0.0
impervious_pct,58,100.0
hatchery_releases,58,100.0
response_value_status,0,0.0
environmental_value_status,0,0.0
impervious_value_status,0,0.0
releases_value_status,0,0.0
response_source,0,0.0
environmental_sources,0,0.0
lag_definition,0,0.0
environmental_source_status,0,0.0
release_source_status,0,0.0
